Order_ID,Order_Date,Customer_ID,Region,Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Year,Month,Month_Name,Year_Month
1,2024-04-12,C1459,West,Electronics,Monitor,5,217.62,0.1,979.29,657.21,322.08,0.32889133964402784,2024,4,Apr,2024-04
2,2024-03-28,C1386,South,Electronics,Headphones,6,94.0,0.0,564.0,454.16,109.84,0.1947517730496454,2024,3,Mar,2024-03
3,2024-07-10,C1511,Central,Office Supplies,Printer Paper,6,10.86,0.0,65.16,46.0,19.16,0.29404542664211175,2024,7,Jul,2024-07
4,2025-11-12,C1244,North,Accessories,Mouse,6,25.59,0.0,153.54,103.15,50.39,0.32818809430767226,2025,11,Nov,2025-11
5,2025-05-19,C1242,North,Office Supplies,Notebook,1,8.72,0.0,8.72,7.08,1.64,0.18807339449541283,2025,5,May,2025-05
6,2024-12-11,C1206,North,Office Supplies,Pen Set,4,9.99,0.0,39.96,23.51,16.45,0.4116616616616616,2024,12,Dec,2024-12
7,2024-03-21,C1402,South,Office Supplies,Printer Paper,6,12.11,0.1,65.39,45.37,20.02,0.30616302186878724,2024,3,Mar,2024-03
8,2025-12-30,C1252,East,Furniture,Table Lamp,6,53.09,0.1,286.69,228.36,58.33,0.2034601834734382,2025,12,Dec,2025-12
9,2025-12-02,C1380,South,Furniture,Desk,7,252.55,0.15,1502.67,1144.55,358.12,0.23832245270085914,2025,12,Dec,2025-12
10,2025-05-07,C1472,North,Accessories,Backpack,1,47.45,0.2,37.96,29.78,8.18,0.21548998946259218,2025,5,May,2025-05
11,2024-03-03,C1041,West,Office Supplies,Pen Set,3,9.15,0.1,24.7,18.28,6.42,0.25991902834008096,2024,3,Mar,2024-03
12,2024-01-28,C1099,Central,Office Supplies,Printer Paper,1,11.55,0.0,11.55,7.6,3.95,0.341991341991342,2024,1,Jan,2024-01
13,2025-11-14,C1218,West,Accessories,Backpack,3,46.92,0.0,140.76,107.34,33.42,0.23742540494458655,2025,11,Nov,2025-11
